id,instrument,position,text,scale,weight
AQ50_01,AQ-50_schema,1,,Autism_Trait,1
AQ50_02,AQ-50_schema,2,,Autism_Trait,1
AQ50_03,AQ-50_schema,3,,Autism_Trait,1
AQ50_04,AQ-50_schema,4,,Autism_Trait,1
AQ50_05,AQ-50_schema,5,,Autism_Trait,1
AQ50_06,AQ-50_schema,6,,Autism_Trait,1
AQ50_07,AQ-50_schema,7,,Autism_Trait,1
AQ50_08,AQ-50_schema,8,,Autism_Trait,1
AQ50_09,AQ-50_schema,9,,Autism_Trait,1
AQ50_10,AQ-50_schema,10,,Autism_Trait,1
AQ50_11,AQ-50_schema,11,,Autism_Trait,1
AQ50_12,AQ-50_schema,12,,Autism_Trait,1
AQ50_13,AQ-50_schema,13,,Autism_Trait,1
AQ50_14,AQ-50_schema,14,,Autism_Trait,1
AQ50_15,AQ-50_schema,15,,Autism_Trait,1
AQ50_16,AQ-50_schema,16,,Autism_Trait,1
AQ50_17,AQ-50_schema,17,,Autism_Trait,1
AQ50_18,AQ-50_schema,18,,Autism_Trait,1
AQ50_19,AQ-50_schema,19,,Autism_Trait,1
AQ50_20,AQ-50_schema,20,,Autism_Trait,1
AQ50_21,AQ-50_schema,21,,Autism_Trait,1
AQ50_22,AQ-50_schema,22,,Autism_Trait,1
AQ50_23,AQ-50_schema,23,,Autism_Trait,1
AQ50_24,AQ-50_schema,24,,Autism_Trait,1
AQ50_25,AQ-50_schema,25,,Autism_Trait,1
AQ50_26,AQ-50_schema,26,,Autism_Trait,1
AQ50_27,AQ-50_schema,27,,Autism_Trait,1
AQ50_28,AQ-50_schema,28,,Autism_Trait,1
AQ50_29,AQ-50_schema,29,,Autism_Trait,1
AQ50_30,AQ-50_schema,30,,Autism_Trait,1
AQ50_31,AQ-50_schema,31,,Autism_Trait,1
AQ50_32,AQ-50_schema,32,,Autism_Trait,1
AQ50_33,AQ-50_schema,33,,Autism_Trait,1
AQ50_34,AQ-50_schema,34,,Autism_Trait,1
AQ50_35,AQ-50_schema,35,,Autism_Trait,1
AQ50_36,AQ-50_schema,36,,Autism_Trait,1
AQ50_37,AQ-50_schema,37,,Autism_Trait,1
AQ50_38,AQ-50_schema,38,,Autism_Trait,1
AQ50_39,AQ-50_schema,39,,Autism_Trait,1
AQ50_40,AQ-50_schema,40,,Autism_Trait,1
AQ50_41,AQ-50_schema,41,,Autism_Trait,1
AQ50_42,AQ-50_schema,42,,Autism_Trait,1
AQ50_43,AQ-50_schema,43,,Autism_Trait,1
AQ50_44,AQ-50_schema,44,,Autism_Trait,1
AQ50_45,AQ-50_schema,45,,Autism_Trait,1
AQ50_46,AQ-50_schema,46,,Autism_Trait,1
AQ50_47,AQ-50_schema,47,,Autism_Trait,1
AQ50_48,AQ-50_schema,48,,Autism_Trait,1
AQ50_49,AQ-50_schema,49,,Autism_Trait,1
AQ50_50,AQ-50_schema,50,,Autism_Trait,1
