id,instrument,position,text,scale,weight
PCL5_01,PCL-5_sintetico,1,He tenido recuerdos angustiosos e intrusivos del evento traumático.,PTSD,1
PCL5_02,PCL-5_sintetico,2,He tenido sueños perturbadores relacionados con el trauma.,PTSD,1
PCL5_03,PCL-5_sintetico,3,Siento que los recuerdos del trauma me vienen a la mente sin querer.,PTSD,1
PCL5_04,PCL-5_sintetico,4,Me asaltan reacciones emocionales intensas al recordar el trauma.,PTSD,1
PCL5_05,PCL-5_sintetico,5,Evito pensar o hablar sobre el evento traumático.,PTSD,1
PCL5_06,PCL-5_sintetico,6,"Evito lugares, personas o actividades que me recuerdan el trauma.",PTSD,1
PCL5_07,PCL-5_sintetico,7,No puedo recordar partes importantes del evento traumático.,PTSD,1
PCL5_08,PCL-5_sintetico,8,Tengo creencias negativas persistentes sobre mí o el mundo.,PTSD,1
PCL5_09,PCL-5_sintetico,9,Siento culpa o vergüenza excesiva relacionada con lo ocurrido.,PTSD,1
PCL5_10,PCL-5_sintetico,10,He perdido interés en actividades que antes disfrutaba.,PTSD,1
PCL5_11,PCL-5_sintetico,11,Tengo dificultad para sentir emociones positivas.,PTSD,1
PCL5_12,PCL-5_sintetico,12,Me siento irritable o tengo arrebatos de ira sin motivo claro.,PTSD,1
PCL5_13,PCL-5_sintetico,13,Tengo dificultades para concentrarme en tareas sencillas.,PTSD,1
PCL5_14,PCL-5_sintetico,14,Me sobresalto o me siento hipervigilante con facilidad.,PTSD,1
PCL5_15,PCL-5_sintetico,15,Tengo problemas para dormir o me despierto a menudo.,PTSD,1
PCL5_16,PCL-5_sintetico,16,Evito recordar detalles del trauma por miedo a alterarme.,PTSD,1
PCL5_17,PCL-5_sintetico,17,Siento que el trauma ha cambiado mi forma de ver el mundo.,PTSD,1
PCL5_18,PCL-5_sintetico,18,Experimento reacciones físicas intensas cuando algo me recuerda el trauma.,PTSD,1
PCL5_19,PCL-5_sintetico,19,Me cuesta confiar en la gente desde que ocurrió el evento.,PTSD,1
PCL5_20,PCL-5_sintetico,20,He notado disminución de mi sensación de seguridad personal.,PTSD,1
