id,instrument,position,text,scale,weight
YBOCS_SV_01,Y-BOCS_severity,1,,OCD_severity,1
YBOCS_SV_02,Y-BOCS_severity,2,,OCD_severity,1
YBOCS_SV_03,Y-BOCS_severity,3,,OCD_severity,1
YBOCS_SV_04,Y-BOCS_severity,4,,OCD_severity,1
YBOCS_SV_05,Y-BOCS_severity,5,,OCD_severity,1
YBOCS_SV_06,Y-BOCS_severity,6,,OCD_severity,1
YBOCS_SV_07,Y-BOCS_severity,7,,OCD_severity,1
YBOCS_SV_08,Y-BOCS_severity,8,,OCD_severity,1
YBOCS_SV_09,Y-BOCS_severity,9,,OCD_severity,1
YBOCS_SV_10,Y-BOCS_severity,10,,OCD_severity,1
